respondent_id,efficacy,side_effects,cost,dosing,choice
244,50% symptom reduction,High,50,Weekly (Injection),0
245,60% symptom reduction,Low,100,Daily (Pill),0
246,60% symptom reduction,Medium,50,Weekly (Injection),0
247,70% symptom reduction,High,50,Weekly (Injection),1
248,60% symptom reduction,Low,50,Weekly (Injection),1
249,50% symptom reduction,High,150,Daily (Pill),0
250,50% symptom reduction,Medium,50,Weekly (Injection),0
251,50% symptom reduction,High,100,Daily (Pill),0
252,50% symptom reduction,Medium,50,Weekly (Injection),1
253,70% symptom reduction,High,100,Daily (Pill),1
254,60% symptom reduction,Low,100,Weekly (Injection),1
255,70% symptom reduction,Low,50,Weekly (Injection),1
256,60% symptom reduction,Low,100,Weekly (Injection),1
257,60% symptom reduction,High,100,Weekly (Injection),1
258,60% symptom reduction,Low,100,Daily (Pill),0
259,60% symptom reduction,High,50,Weekly (Injection),0
260,60% symptom reduction,Medium,50,Weekly (Injection),1
261,70% symptom reduction,Low,50,Daily (Pill),1
262,60% symptom reduction,Low,100,Weekly (Injection),1
263,70% symptom reduction,High,100,Daily (Pill),1
264,60% symptom reduction,High,100,Daily (Pill),1
265,50% symptom reduction,High,150,Weekly (Injection),0
266,50% symptom reduction,High,100,Daily (Pill),0
267,50% symptom reduction,High,150,Weekly (Injection),1
268,60% symptom reduction,Low,50,Weekly (Injection),1
269,50% symptom reduction,High,150,Daily (Pill),1
270,50% symptom reduction,Medium,150,Daily (Pill),1
271,50% symptom reduction,Medium,50,Weekly (Injection),0
272,70% symptom reduction,Low,150,Daily (Pill),1
273,70% symptom reduction,High,100,Daily (Pill),1
274,60% symptom reduction,Medium,100,Daily (Pill),1
275,70% symptom reduction,Low,150,Daily (Pill),1
276,60% symptom reduction,Low,100,Daily (Pill),0
277,70% symptom reduction,High,100,Daily (Pill),1
278,70% symptom reduction,Low,50,Weekly (Injection),1
279,70% symptom reduction,Low,100,Daily (Pill),1
280,70% symptom reduction,High,50,Daily (Pill),1
281,60% symptom reduction,Low,100,Daily (Pill),1
282,60% symptom reduction,Low,100,Daily (Pill),0
283,50% symptom reduction,Low,50,Daily (Pill),1
284,70% symptom reduction,Medium,50,Weekly (Injection),1
285,50% symptom reduction,Medium,50,Daily (Pill),0
286,60% symptom reduction,High,50,Daily (Pill),1
287,70% symptom reduction,Low,100,Daily (Pill),0
288,50% symptom reduction,Medium,50,Daily (Pill),1
289,60% symptom reduction,Medium,100,Daily (Pill),0
290,60% symptom reduction,High,50,Daily (Pill),1
291,70% symptom reduction,High,100,Daily (Pill),0
292,60% symptom reduction,Medium,100,Daily (Pill),0
293,50% symptom reduction,Low,50,Daily (Pill),1
294,70% symptom reduction,High,100,Weekly (Injection),0
295,60% symptom reduction,Medium,150,Weekly (Injection),1
296,70% symptom reduction,Medium,100,Daily (Pill),1
297,50% symptom reduction,High,50,Weekly (Injection),0
298,60% symptom reduction,High,50,Daily (Pill),1
299,60% symptom reduction,Medium,150,Weekly (Injection),1
300,60% symptom reduction,Low,100,Daily (Pill),0
301,60% symptom reduction,Medium,100,Daily (Pill),0
302,70% symptom reduction,Low,150,Weekly (Injection),1
303,50% symptom reduction,Medium,50,Daily (Pill),0
304,50% symptom reduction,Low,150,Daily (Pill),1
305,70% symptom reduction,Medium,150,Daily (Pill),1
306,70% symptom reduction,Low,100,Daily (Pill),0
307,60% symptom reduction,Low,50,Weekly (Injection),1
308,50% symptom reduction,High,100,Weekly (Injection),0
309,70% symptom reduction,Medium,150,Daily (Pill),0
310,70% symptom reduction,High,100,Weekly (Injection),1
311,70% symptom reduction,Low,100,Weekly (Injection),1
312,60% symptom reduction,Low,50,Weekly (Injection),1
313,60% symptom reduction,Low,150,Daily (Pill),0
314,70% symptom reduction,High,50,Weekly (Injection),1
315,70% symptom reduction,Low,100,Daily (Pill),1
316,70% symptom reduction,High,100,Daily (Pill),1
317,70% symptom reduction,Medium,50,Weekly (Injection),1
318,50% symptom reduction,High,150,Weekly (Injection),0
319,50% symptom reduction,High,150,Daily (Pill),0
320,50% symptom reduction,Low,50,Daily (Pill),1
321,60% symptom reduction,High,150,Weekly (Injection),1
322,70% symptom reduction,High,50,Daily (Pill),0
323,60% symptom reduction,High,100,Daily (Pill),1
324,70% symptom reduction,Low,50,Weekly (Injection),1
325,70% symptom reduction,Medium,150,Daily (Pill),1
326,60% symptom reduction,High,100,Daily (Pill),1
327,70% symptom reduction,Medium,50,Daily (Pill),1
328,50% symptom reduction,High,50,Daily (Pill),0
329,60% symptom reduction,High,50,Daily (Pill),1
330,50% symptom reduction,Medium,50,Weekly (Injection),0
331,70% symptom reduction,High,100,Weekly (Injection),1
332,70% symptom reduction,Medium,100,Weekly (Injection),1
333,50% symptom reduction,Low,50,Daily (Pill),0
334,60% symptom reduction,Medium,100,Weekly (Injection),1
335,60% symptom reduction,Low,100,Weekly (Injection),1
336,50% symptom reduction,Medium,150,Weekly (Injection),0
337,50% symptom reduction,High,100,Weekly (Injection),0
338,60% symptom reduction,High,150,Weekly (Injection),0
339,50% symptom reduction,Low,50,Daily (Pill),0
340,60% symptom reduction,Low,150,Weekly (Injection),0
341,60% symptom reduction,High,50,Daily (Pill),0
342,70% symptom reduction,Low,150,Weekly (Injection),1
343,50% symptom reduction,High,150,Daily (Pill),0
344,50% symptom reduction,High,100,Weekly (Injection),0
345,50% symptom reduction,High,50,Daily (Pill),1
346,70% symptom reduction,Low,50,Weekly (Injection),1
347,60% symptom reduction,Low,150,Daily (Pill),0
348,50% symptom reduction,Low,50,Daily (Pill),0
349,60% symptom reduction,High,50,Weekly (Injection),1
350,50% symptom reduction,High,100,Weekly (Injection),0
351,70% symptom reduction,High,50,Daily (Pill),1
352,60% symptom reduction,Medium,100,Weekly (Injection),1
353,70% symptom reduction,Low,50,Daily (Pill),1
354,60% symptom reduction,High,50,Weekly (Injection),1
355,70% symptom reduction,High,150,Daily (Pill),1
356,60% symptom reduction,Medium,50,Daily (Pill),1
357,60% symptom reduction,High,100,Weekly (Injection),1
358,70% symptom reduction,Medium,100,Daily (Pill),1
359,60% symptom reduction,Medium,100,Weekly (Injection),1
360,70% symptom reduction,Medium,150,Weekly (Injection),1
361,60% symptom reduction,Medium,100,Daily (Pill),0
362,60% symptom reduction,Medium,100,Weekly (Injection),0
363,50% symptom reduction,Medium,100,Daily (Pill),0
364,60% symptom reduction,Low,50,Weekly (Injection),0
365,60% symptom reduction,Low,50,Daily (Pill),0
366,60% symptom reduction,Low,150,Weekly (Injection),1
367,60% symptom reduction,Medium,150,Weekly (Injection),0
368,50% symptom reduction,Medium,150,Daily (Pill),1
369,60% symptom reduction,Low,100,Weekly (Injection),1
370,50% symptom reduction,Low,50,Weekly (Injection),0
371,70% symptom reduction,Low,50,Daily (Pill),1
372,50% symptom reduction,Medium,150,Daily (Pill),0
373,70% symptom reduction,Low,50,Weekly (Injection),0
374,50% symptom reduction,Medium,150,Weekly (Injection),0
375,60% symptom reduction,Medium,100,Weekly (Injection),1
376,60% symptom reduction,Medium,100,Weekly (Injection),0
377,50% symptom reduction,Low,50,Daily (Pill),1
378,50% symptom reduction,High,100,Weekly (Injection),0
379,60% symptom reduction,High,150,Daily (Pill),1
380,60% symptom reduction,High,50,Weekly (Injection),0
381,70% symptom reduction,Low,100,Weekly (Injection),1
382,70% symptom reduction,Medium,50,Daily (Pill),0
383,60% symptom reduction,High,150,Weekly (Injection),1
384,60% symptom reduction,High,100,Daily (Pill),1
385,50% symptom reduction,Low,150,Weekly (Injection),0
386,50% symptom reduction,Low,150,Weekly (Injection),1
387,70% symptom reduction,Medium,100,Daily (Pill),1
388,50% symptom reduction,Medium,50,Daily (Pill),1
389,70% symptom reduction,Medium,100,Daily (Pill),1
390,60% symptom reduction,Medium,50,Weekly (Injection),1
391,70% symptom reduction,Medium,150,Weekly (Injection),0
392,60% symptom reduction,Low,150,Weekly (Injection),1
393,50% symptom reduction,Low,100,Daily (Pill),0
394,50% symptom reduction,Medium,150,Daily (Pill),1
395,60% symptom reduction,High,50,Weekly (Injection),1
396,50% symptom reduction,Low,100,Daily (Pill),1
397,70% symptom reduction,High,150,Daily (Pill),0
398,50% symptom reduction,Medium,50,Weekly (Injection),1
399,60% symptom reduction,Medium,50,Weekly (Injection),1
400,70% symptom reduction,Medium,100,Weekly (Injection),1
401,60% symptom reduction,High,100,Daily (Pill),1
402,70% symptom reduction,Medium,100,Weekly (Injection),1
403,50% symptom reduction,Low,50,Daily (Pill),1
404,60% symptom reduction,Medium,150,Weekly (Injection),1
405,50% symptom reduction,High,50,Weekly (Injection),0
406,70% symptom reduction,Low,150,Weekly (Injection),1
407,60% symptom reduction,Medium,150,Weekly (Injection),1
408,50% symptom reduction,Medium,150,Weekly (Injection),0
409,70% symptom reduction,Medium,50,Daily (Pill),1
410,60% symptom reduction,High,100,Weekly (Injection),1
411,70% symptom reduction,Low,100,Daily (Pill),1
412,60% symptom reduction,Medium,100,Weekly (Injection),0
413,70% symptom reduction,Medium,150,Weekly (Injection),1
414,60% symptom reduction,Medium,50,Weekly (Injection),1
415,50% symptom reduction,Medium,150,Weekly (Injection),0
416,50% symptom reduction,High,150,Weekly (Injection),0
417,60% symptom reduction,Low,150,Daily (Pill),1
418,50% symptom reduction,High,100,Weekly (Injection),1
419,60% symptom reduction,Medium,100,Weekly (Injection),1
420,70% symptom reduction,Medium,50,Daily (Pill),1
421,60% symptom reduction,Low,50,Weekly (Injection),0
422,50% symptom reduction,Low,50,Weekly (Injection),1
423,70% symptom reduction,High,50,Daily (Pill),1
424,70% symptom reduction,Low,150,Weekly (Injection),0
425,60% symptom reduction,Low,150,Daily (Pill),1
426,50% symptom reduction,Low,100,Weekly (Injection),1
427,70% symptom reduction,Low,100,Weekly (Injection),1
428,70% symptom reduction,Medium,150,Daily (Pill),1
429,70% symptom reduction,High,150,Daily (Pill),1
430,70% symptom reduction,High,50,Daily (Pill),1
431,70% symptom reduction,Low,50,Weekly (Injection),1
432,70% symptom reduction,Medium,150,Daily (Pill),0
433,50% symptom reduction,Medium,150,Daily (Pill),1
434,50% symptom reduction,High,100,Weekly (Injection),0
435,50% symptom reduction,Medium,150,Daily (Pill),0
436,70% symptom reduction,Medium,50,Daily (Pill),1
437,50% symptom reduction,Medium,150,Weekly (Injection),0
438,60% symptom reduction,Medium,150,Daily (Pill),1
439,50% symptom reduction,Low,50,Weekly (Injection),1
440,70% symptom reduction,Low,150,Weekly (Injection),1
441,50% symptom reduction,High,150,Daily (Pill),0
442,60% symptom reduction,Medium,150,Weekly (Injection),0
443,50% symptom reduction,High,50,Daily (Pill),0
444,70% symptom reduction,Medium,100,Daily (Pill),0
445,60% symptom reduction,High,100,Daily (Pill),0
446,60% symptom reduction,Medium,50,Daily (Pill),1
447,70% symptom reduction,High,50,Daily (Pill),0
448,70% symptom reduction,High,150,Weekly (Injection),1
449,50% symptom reduction,High,50,Daily (Pill),0
450,60% symptom reduction,Low,100,Weekly (Injection),1
451,50% symptom reduction,Low,100,Weekly (Injection),1
452,60% symptom reduction,Low,150,Daily (Pill),0
453,70% symptom reduction,Medium,50,Daily (Pill),1
454,70% symptom reduction,High,50,Weekly (Injection),1
455,60% symptom reduction,Medium,150,Daily (Pill),0
456,70% symptom reduction,Low,150,Daily (Pill),1
457,60% symptom reduction,Low,100,Weekly (Injection),1
458,50% symptom reduction,Low,150,Weekly (Injection),0
459,70% symptom reduction,Low,50,Daily (Pill),1
460,70% symptom reduction,High,50,Weekly (Injection),0
461,70% symptom reduction,Low,100,Weekly (Injection),1
462,50% symptom reduction,High,100,Weekly (Injection),0
463,70% symptom reduction,Low,100,Weekly (Injection),1
464,60% symptom reduction,High,100,Weekly (Injection),1
465,60% symptom reduction,Medium,50,Weekly (Injection),1
466,60% symptom reduction,Low,150,Daily (Pill),1
467,70% symptom reduction,Medium,150,Daily (Pill),1
468,60% symptom reduction,Medium,50,Weekly (Injection),0
469,60% symptom reduction,High,100,Weekly (Injection),1
470,60% symptom reduction,High,50,Daily (Pill),0
471,70% symptom reduction,Medium,50,Daily (Pill),1
472,50% symptom reduction,Medium,50,Weekly (Injection),0
473,70% symptom reduction,Low,150,Daily (Pill),0
474,50% symptom reduction,Medium,50,Weekly (Injection),1
475,60% symptom reduction,Low,150,Weekly (Injection),1
476,60% symptom reduction,Low,150,Daily (Pill),1
477,50% symptom reduction,Medium,50,Weekly (Injection),1
478,50% symptom reduction,Low,50,Weekly (Injection),1
479,50% symptom reduction,Low,100,Weekly (Injection),0
480,70% symptom reduction,High,50,Daily (Pill),1
481,50% symptom reduction,Low,100,Daily (Pill),0
482,70% symptom reduction,Medium,50,Daily (Pill),1
483,70% symptom reduction,High,150,Daily (Pill),1
484,50% symptom reduction,Medium,50,Daily (Pill),1
485,70% symptom reduction,Low,50,Daily (Pill),0
486,60% symptom reduction,Medium,150,Daily (Pill),1
487,70% symptom reduction,Low,100,Daily (Pill),1
488,60% symptom reduction,High,150,Daily (Pill),1
489,60% symptom reduction,Low,50,Daily (Pill),1
490,60% symptom reduction,High,100,Weekly (Injection),1
491,70% symptom reduction,High,50,Weekly (Injection),0
492,60% symptom reduction,Medium,50,Daily (Pill),0
493,70% symptom reduction,High,100,Weekly (Injection),0
494,50% symptom reduction,Medium,100,Daily (Pill),1
495,50% symptom reduction,High,150,Daily (Pill),0
496,60% symptom reduction,Low,50,Weekly (Injection),1
497,60% symptom reduction,Medium,100,Weekly (Injection),0
498,60% symptom reduction,Medium,50,Daily (Pill),1
499,60% symptom reduction,Low,150,Weekly (Injection),0
500,60% symptom reduction,High,100,Daily (Pill),1
501,70% symptom reduction,Medium,150,Weekly (Injection),1
502,50% symptom reduction,Low,100,Weekly (Injection),0
503,50% symptom reduction,Low,100,Daily (Pill),0
504,70% symptom reduction,Medium,50,Daily (Pill),1
505,70% symptom reduction,Low,50,Daily (Pill),1
506,70% symptom reduction,High,100,Weekly (Injection),0
507,70% symptom reduction,Low,100,Daily (Pill),1
508,50% symptom reduction,Medium,150,Weekly (Injection),1
509,60% symptom reduction,Low,100,Daily (Pill),0
510,50% symptom reduction,High,100,Weekly (Injection),1
511,70% symptom reduction,High,100,Weekly (Injection),1
512,50% symptom reduction,Low,150,Daily (Pill),0
513,60% symptom reduction,High,50,Daily (Pill),0
514,60% symptom reduction,High,50,Weekly (Injection),0
515,70% symptom reduction,Medium,150,Weekly (Injection),1
516,50% symptom reduction,High,150,Daily (Pill),1
517,70% symptom reduction,High,100,Daily (Pill),1
518,60% symptom reduction,Medium,100,Daily (Pill),1
519,60% symptom reduction,Medium,150,Daily (Pill),1
520,70% symptom reduction,High,150,Weekly (Injection),1
521,70% symptom reduction,Low,50,Weekly (Injection),1
522,50% symptom reduction,Medium,50,Daily (Pill),1
523,60% symptom reduction,Medium,50,Daily (Pill),1
524,60% symptom reduction,Low,150,Weekly (Injection),1
525,50% symptom reduction,High,100,Weekly (Injection),1
526,70% symptom reduction,Low,100,Daily (Pill),0
